idx|name|type|req|page|x|y|w|h
0|Legal_Description|text|false|0|0.5110|0.2034|0.3777|0.0175
1|seller_name|text|false|0|0.4400|0.1200|0.4300|0.0140
2|buyer_name|text|false|0|0.3000|0.1300|0.5200|0.0140
3|legal_lot|text|false|0|0.2187|0.2087|0.0658|0.0155
4|legal_block|text|false|0|0.3850|0.2065|0.0854|0.0166
5|addition_city|text|false|0|0.2700|0.2200|0.2100|0.0140
6|county|text|false|0|0.6600|0.2200|0.2400|0.0140
7|property_address|text|false|0|0.2700|0.2335|0.6500|0.0140
8|exclusions|text|false|0|0.5350|0.5035|0.3700|0.0160
9|down_payment|text|false|0|0.7600|0.5830|0.1600|0.0160
10|third_party_financing|checkbox|false|0|0.5090|0.6249|0.0206|0.0204
11|Loan_Assumption|checkbox|false|0|0.1221|0.6478|0.0140|0.0140
12|Seller_Financing Addendum|checkbox|false|0|0.4028|0.6467|0.0282|0.0181
13|loan_amount|text|false|0|0.7600|0.6435|0.1600|0.0160
14|sales_price|text|false|0|0.7600|0.6600|0.1600|0.0160
15|has_residential_leases|checkbox|false|0|0.0780|0.7380|0.0140|0.0140
16|has_fixture_leases|checkbox|false|0|0.0780|0.7700|0.0140|0.0140
17|has_natural_resource_leases|checkbox|false|0|0.0780|0.8150|0.0140|0.0140
18|Buyer Initials P1|initials|false|0|0.3400|0.9570|0.0700|0.0220
19|Buyer Initials P1|initials|false|0|0.6419|0.9533|0.0700|0.0220
20|Buyer Initials P1|initials|false|0|0.4085|0.9567|0.0700|0.0220
21|Seller Initials P1|initials|false|0|0.5700|0.9570|0.0700|0.0220
22|property_address_header_p2|text|false|1|0.2100|0.0380|0.5200|0.0160
23|escrow_agent_name|text|false|1|0.2950|0.1000|0.1900|0.0160
24|escrow_agent_address|text|false|1|0.6700|0.1000|0.2500|0.0160
25|earnest_money_amount|text|false|1|0.4850|0.1140|0.1000|0.0160
26|option_fee|text|false|1|0.8100|0.1140|0.1100|0.0160
27|additional_earnest_money|text|false|1|0.5700|0.1545|0.1500|0.0160
28|additional_em_days|text|false|1|0.1522|0.1680|0.0700|0.0160
29|option_period_days|text|false|1|0.1230|0.3520|0.0500|0.0160
30|title_seller_pays|checkbox|false|1|0.5134|0.5446|0.0140|0.0140
31|title_buyer_pays|checkbox|false|1|0.6041|0.5457|0.0140|0.0140
32|title_company_name|text|false|1|0.4750|0.5545|0.3000|0.0160
33|survey_not_amended|checkbox|false|1|0.1212|0.7559|0.0263|0.0210
34|survey_amend_buyer|checkbox|false|1|0.7082|0.7722|0.0228|0.0232
35|survey_amend_seller|checkbox|false|1|0.8088|0.7733|0.0278|0.0200
36|Buyer Initials P1|initials|false|1|0.4110|0.9568|0.0700|0.0220
37|Survey_Amended|checkbox|false|1|0.1216|0.7741|0.0207|0.0202
38|Buyer Initials P2|initials|false|1|0.3410|0.9570|0.0700|0.0220
