Index,Field Name,Field Type,Fixture Key,Has Value,Status
0,"1 PARTIES The parties to this contract are",PDFTextField,notes,True,PASS
1,"Seller and",PDFTextField,seller_names,True,PASS
2,"A LAND Lot",PDFTextField,lot,True,PASS
3,"Block",PDFTextField,block,True,PASS
4,"undefined",PDFTextField,notes,True,PASS
5,"Addition City of",PDFTextField,addition,True,PASS
6,"County of",PDFTextField,county,True,PASS
7,"Texas known as",PDFTextField,legal_description,True,PASS
8,"be removed prior to delivery of possession",PDFTextField,notes,True,PASS
9,"undefined_2",PDFTextField,notes,True,PASS
10,"undefined_3",PDFTextField,notes,True,PASS
11,"B Sum of all financing described in the attached",PDFCheckBox,financing_contingency,True,PASS
12,"undefined_4",PDFTextField,notes,True,PASS
13,"undefined_5",PDFTextField,notes,True,PASS
14,"Initialed for identification by Buyer",PDFTextField,buyer_initials,True,PASS
15,"undefined_8",PDFTextField,notes,True,PASS
16,"and Seller",PDFTextField,seller_initials,True,PASS
17,"undefined_9",PDFTextField,notes,True,PASS
18,"Page 2 of 10",PDFTextField,notes,True,PASS
19,"the Title Company and Buyers lenders Check one box only",PDFTextField,buyer_names,True,PASS
20,"2Within",PDFCheckBox,notes,True,PASS
21,"3Within",PDFCheckBox,notes,True,PASS
22,"Sellers_2",PDFCheckBox,seller_names,True,PASS
23,"Buyers expense no later",PDFCheckBox,buyer_names,True,PASS
24,"is",PDFCheckBox,notes,True,PASS
25,"is not",PDFCheckBox,notes,True,PASS
26,"2 MEMBERSHIP IN PROPERTY OWNERS ASSOCIATIONS The Property",PDFTextField,hoa_present,True,PASS
27,"and Seller_2",PDFTextField,seller_initials,True,PASS
28,"undefined_10",PDFTextField,notes,True,PASS
29,"undefined_11",PDFTextField,notes,True,PASS
30,"Page 3 of 10",PDFTextField,notes,True,PASS
31,"Property Code requires Seller to notify Buyer as follows",PDFTextField,seller_names,True,PASS
32,"and Seller_3",PDFTextField,seller_initials,True,PASS
33,"undefined_12",PDFTextField,notes,True,PASS
34,"The private transfer fee",PDFTextField,notes,True,PASS
35,"Contract Concerning",PDFTextField,special_provisions,True,PASS
36,"Within",PDFTextField,notes,True,PASS
37,"1 Buyer accepts the Property As Is",PDFCheckBox,buyer_names,True,PASS
38,"2 Buyer accepts the Property As Is provided Seller at Sellers expense shall complete the",PDFCheckBox,seller_names,True,PASS
39,"Initialed for identification by Buyer_2",PDFTextField,buyer_initials,True,PASS
40,"undefined_14",PDFTextField,notes,True,PASS
41,"and Seller_4",PDFTextField,seller_initials,True,PASS
42,"undefined_15",PDFTextField,notes,True,PASS
43,"Contract Concerning_2",PDFTextField,special_provisions,True,PASS
44,"service contract in an amount not exceeding",PDFTextField,homeowners_warranty_limit,True,PASS
45,"A The closing of the sale will be on or before",PDFTextField,closing_date,True,PASS
46,"20",PDFTextField,notes,True,PASS
47,"Initialed for identification by Buyer_3",PDFTextField,buyer_initials,True,PASS
